"Type","Category","Month","Weekday","Hour","Reach","Impressions","EngagedUsers","Consumers","Consumptions"
"Link",1,1,2,"0-5",5168,8371,66,59,71
"Photo",3,1,1,"12-17",5034,8030,1020,993,1243
"Photo",3,1,1,"0-5",4908,7491,957,937,1153
"Photo",3,1,7,"6-11",9700,17442,1407,1271,2007
"Photo",3,1,7,"0-5",4800,7754,975,938,1278
"Photo",3,1,6,"6-11",5280,8703,951,911,1237
"Photo",3,1,6,"0-5",6184,10228,956,901,1140
"Link",1,1,5,"6-11",45920,5808,753,655,763
"Photo",3,1,1,"0-5",8412,13960,1179,1111,1632
"Photo",3,1,7,"6-11",5400,9218,810,756,1003
"Photo",3,1,7,"0-5",4684,7536,733,708,985
"Photo",2,1,5,"6-11",3480,6229,537,508,687
"Photo",1,1,5,"0-5",3778,7216,625,572,795
"Photo",3,1,4,"6-11",4156,7564,626,574,832
"Photo",2,1,4,"0-5",4188,7292,564,524,743
